Ids,Name,Experience,Schedule,Keys,Description,Area,Professional roles,Specializations,Profarea names
49315010,менеджер по ит актив,от 3 до 6 год,полный день,  заключение договоров    ведение переговоров    деловой переписка    первичный бухгалтерский документация    закупка товар и услуг  ,на данный момент  мы искать менеджер по    актив обязанности  поиск интернет провайдеров  поиск компания по ит аутсорсингу  заключение и сопровождение договор с контрагент  услуга связи  ит аутсорсинг  нематериальный активы  ит оборудование   работа с первичный документацией  подписание  возврат поставщику  передача в бухгалтерию  проведение переговоры с поставщик услуга с цель оптимизация затрат  проведение заявка на оплату  контроль своевременный оплата счетов  обработка обращение пользователь на предоставление тмц в система               передача ит оборудование в закупку  контроль доставка ит оборудование заказчику  контроль остаток тмц на складе  своевременный пополнение  обеспечение своевременный продление лицензия на по  договор с поставщик услуг  подготовка отчётность в росстат  составление ежеквартальный бюджет компания по услуга связь и нма  требования  высокий образование  опыт в аналогичный должность от 3 й лет  опыт участие в конкурсный закупках  опытный пользователь компьютера  отличный коммуникационный навыки  условия  стабильность  компания федеральный уровня  стратегический партнёр для бизнеса  население и государства  социально ориентировать бизнес  мы помогать миллион человек следить за они здоровьем  соблюдение тк рф  официальный трудоустройство        белая       заработный плата  график  5 2 с 9 00 до 18 00  место работы  наб  река фонтанки  59  профессиональный развитие  у мы есть внутренний курс и возможность внешний обучения  команда  отличный сплотить коллектив профессионалов  стать часть наш дружный команды ,санкт петербург,  руководитель группа разработки  ,  информационный технологии                            электротехнический оборудование светотехника    продажи    развитие бизнеса    интернет  ,  закупки    информационный технологии  интернет  телеком    консультирование    медицина  фармацевтика  
50105203,оператор геймер  на дому ,нет опыт,удалённый работа,  работа в команде    желание учиться и развиваться    удалённый работа    быстро учусь    пользователь пк                внимательный    логический мышление    желание расти и развиваться    желание обучаться  ,миссия наш компания   улучшение клиентский сервиса м заниматься предоставление различный услуга наш клиент в игровой индустрии м зарекомендовать себя как надёжный работодатель и хороший партнёр для свой сотрудников  потому что мы за честность в отношениях  хороший оплата труда  комфортный рабочий атмосфера и долгосрочный сотрудничество ч предстоять заниматься  учиться новому  принимать заказ через чат приложение  обрабатывать и выполнять заказ по предоставить алгоритм действий  взаимодействовать с отдел бухгалтерии от вы потребуется  желание обучаться новый и выполнять поставить задачи  внимательность и логический мышление  дисциплина и пунктуальность чтый мы предоставляем  работа в международный компании  дружный коллектив  бесплатный обучение  возможность карьерный роста  гибкий график работы удалённый работа из дома  отсутствие поиск клиент и продаж ,санкт петербург,  другое  ,  начальный уровень  мало опыта    системный администратор    информационный технологии  интернет  мультимедиа    искусство  развлечения  масс медиа    начальный уровень  мало опыта    начальный уровень  мало опыта  ,  административный персонал    начало карьеры  студенты    информационный технологии  интернет  телеком    искусство  развлечения  масс медиа  
49787420,менеджер проект в видеостудия,от 1 год до 3 год,полный день,  организаторский навыки    работа в команде    деловой общение    пользователь пк    английский язык                   грамотный речь    деловой переписка    ведение переговоров    навык переговоров    творческий мышление    проведение презентаций    заключение договоров    навык продаж  ,студия денис золотов в поиск менеджер проект                  м специализироваться на проведение онлайн трансляций  делать это уже более 5 ти лет  работать на высокий уровне  также мы организовать фото  и видеосъемки  снимать рекламный видеоролики ище ответственный и внимательный человек в команду  который смочь чётко организовывать съёмка и трансляции  вести документооборот по проектам  принимать активный участие в развитие студии ть сопроводительный письмо обязательно указать свой опыт работа в сфера фото видео производства  быть здорово  если вы иметь опыт организация онлайн трансляции  рассказать о это подробнее чтый нужно  базовый знание о документообороте  стандартный форма договор и стандартный порядок работы  договор  счет  акт усидчивость и внимательность  способность быстро вникать в задачи  самостоятельно собирать команда и контролировать ход работа уверенный владение        и сервис         почта  таблицы  формы  документы  умение слышать клиента  конкретизировать задача понимание процесс фото и видео производства  опыт ведение проект в дать сфере  самостоятельность и стрессоустойчивость  готовность оптимизировать бизнес процесс в компании  увеличивать количество клиент и напрямую влиять на величина собственный доход задачи  консультирование клиентов  помощь с заполнение бриф подготовка кп  заключение договоров  встреча с заказчик организация предпродакшена  контроль передача весь необходимый материал от заказчик в отдел производства  контроль производство эфирный графика и общий ход подготовка к проект организация съемок  трансляций  готовность к переработка до и в время крупный проект формирование тз для подрядчиков  сопровождение на проекте  контроль качество отснять материал условия  пн чт 10 00 19 00  пт 10 00 18 00  обед без привязка к времени  оклад на рука с премия от 50 000 до 100 000 руб мес  два оплачивать двухнедельный отпуск в год испытательный срок 2 месяц плюс работа у нас  офис в центр город возможность удалённый работа из дом  после 2 й месяц работа в офис и не более 1 й день в неделю  заправить арабика кофемашин в офис прозрачный и простой расчёт размер премии  отсутствие неоплачиваемый переработка возможность использовать съёмочный пространство для некоммерческий съёмка бесплатно  в свободный от работа время кандидат без опыт ведение проект в сфера видеопроизводство не рассматриваются ,санкт петербург,  менеджер по маркетинг и рекламе  ,  менеджер по работа с клиентами    менеджер по работа с клиентами    телевидение    управление проектами    продюсер  ,  продажи    информационный технологии  интернет  телеком    маркетинг  реклама        искусство  развлечения  масс медиа  
50102837,    менеджер       координатор,от 1 год до 3 год,полный день,                    управление проектами                            электронный документооборот    ориентация на результат    обучение персонала    деловой коммуникация    умение расставлять приоритеты    моделирование                               ,в связь с активный развитие компании  приглашать в свой команда      менеджер  координатора  ваш область задач  администрирование система электронный документооборот проектный документация в компании  участие в составление дорожный карта по развитие     в компании  контроль она выполнения  организация  с помощь регламентов  стандарт и обучение персонала  процесс создание информационный модель  далее им  и обмен данные в рамка им  участник проектов  контроль работа они проект компания с точка зрение правильность и корректность работа данные и элемент моделей  в течение весь цикл реализация проекта  поддержка в актуальный состояние стандарт организация по информационный моделирование и контроль они исполнение сотрудник компании  проверка информационный модель на коллизии  соответствие     и требование компании  ведение каталог проект в репозиторий документооборота  участие в разработка тз на проектирование в область информационный требований  проведение обучение сотрудников  либо организация обучение по работа с им  участие в выбор платформа для разработка внутренний по и       система для работа участник строительный процесса  портрет наш успешный кандидата  знание технология проектирование с применение     технологий  знание организация документооборот проектный документация в проектный компаниях  в служба заказчик девелопер   приветствуется  навык обучение персонал в область     проектирования  продукт                            и              обязательный владение  продукт               или             весьма желательный владение  дополнительный образование  повышение квалификация   информационный моделирование        коммуникабельность  инициативность  обучаемость и самоконтроль в данный вопросе  активный жизненный позиция  мы предлагаем  работа в крупный компания с безупречный репутацией   оформление и социальный гарантии  согласно тк рф  официальный заработный плату  своевременный выплаты  возможность для профессиональный развитие и карьерный роста  сплотить коллектив  поздравление и подарок от компании  график работы  5 ный рабочий неделя с 9 00 18 00  рабочий место в современном  уютный и полностью оборудовать офис в бц              ,санкт петербург,  архитектор  ,  строительство  недвижимость    система автоматизированный проектирования    управление проектами    жилье    девелопер  ,  высокий менеджмент    информационный технологии  интернет  телеком    строительство  недвижимость  
50102682,руководитель телефонный продажа,от 1 год до 3 год,полный день,  обучение персонала    работа в команде    организаторский навыки    управление персоналом    управление командой  ,наш команда объединить общий цель   предложить клиент хороший сервис  каждый день мы работать для того  чтобы сделать жизнь клиент простой и удобнее  мы ждать самый открытый и позитивных  тех  кто интересный инновация и новый продукт чтобы вдохновляться  достигать высокий результат и расти вместе с нами ь сейчас у ты есть возможность присоединиться к хороший команда в качество руководитель группа по подбор персонала  вот что ты предстоит   руководство  планирование и контроль работа 3 очный площадка телефонный продажа в город ярославль  калуга  кострома   формирование эффективный команда телефонный продаж  численность персонала   контроль выполнение план продаж       повышение конверсия менеджеров  увеличение средний чеков   организация весь бизнес процесс отдела   организация работа операторов  наставничество   контроль качество холодный звонков   контроль качество обслуживание на линии   ведение необходимый отчётность и статистики   эффективный коучинга  индивидуальный обучение  и адаптация вновь прибыть в команда операторов   разработка изменение мотивация для сотрудников   распределение нагрузка исх  телемаркетинга   претензионный работа  разрешение конфликтный ситуация с пациент  на линии    написание скрипт для успешный работа отдела  мы быть рада рассмотреть твой кандидатуру  если у ты есть   опыт работа руководитель отдел продажа  отдел в телемаркетинг или      центре  в телефонный продажа от 2 й лет    опыт построение эффективный система продаж  команда и введение новый регламентов    наличие подтвердить значимый достижение в продажах    опыт написания корректировка скриптов  запуск проект по привлечение клиентов    готовность к новый идеям  к использование новый подход и продажа новый продуктов    желание быть результативным  что мы ты предлагаем  работа в компании  большинство продукт который не иметь аналог на рынке постоять развитие  участие в интересный проект и расширение твой экспертизы дружный команда  где каждый мочь высказывать свой мнение и быть услышанным открыть конструктивный атмосфера свобода самореализации  предлагать и воплощать в жизнь свой идеи         инструмент для работы  который позволить ты решать текущий задача быстро и эффективно корпоративный обучение   мы важно  чтобы ты развиваться и расти вместе с нами полис добровольный медицинский страхования  обслуживать в хороший клиника города  лужебный сотовый связь           гибкий рабочий график и возможность работать удалённый   планировать свой время сам ть билайн мы развивать и поддерживать здоровый и безопасный рабочий среду  каждый сотрудник соблюдать кодекс поведения  внутренний правило компания и придерживаться принцип деловой этики  мы поступать честно и этично как по отношение к друг другу  так и к наш внешний партнерам ,санкт петербург,  руководитель отдел продаж  ,  телекоммуникации  сетевой решения    продажа по телефону  телемаркетинг    менеджер по сервис   сетевой и телекоммуникационный технологии    сотрудник      центра    телекоммуникации  ,  административный персонал    продажи    информационный технологии  интернет  телеком    инсталляция и сервис  
49106628,инженер внедрение программно аппаратный комплекс  пассажирский транспорт ,от 1 год до 3 год,полный день,  обучение и развитие    схемотехника электронный оборудования    внутренний контроль    проведение тестирований     истем управление база данных                          232       485           1                             скуд    асуд             пассажирский транспорт    программно аппаратный компалексы  ,обязанности  внедрение программно аппаратный комплекс на объект транспортный инфраструктуры  пассажирский транспорт проведение испытание  автономных  комплексных   проверок  тестирование автоматизированный система и программно аппаратный комплекс участие в подготовка программа и методика проведение испытаний  тестирование по категория изделие анализ результат испытаний  формирование перечень доработок  устранение замечание к изделие контроль устранение выявить замечание к программным  программно аппаратный комплекс подготовка отчётность о результат проведение испытаний  участие в выработка технический решений  путь развитие и модернизация аппаратно программный комплексов  программный продукт приветствуются  опыт в автомобильный индустрия опыт внедрение программно аппаратный комплекс на объект транспортный инфраструктуры  пассажирский транспорт знание аналоговый и цифровой схемотехник опыт работа с беспроводный сеть передача данные     на низкий уровень опыт работа с встраивать система                    требования  высокий технический образование знание основный промышленный стандарт передача данные и понимание принцип они работа  интерфейс              232     485       1      и т п   базовый знание в электроника и схемотехник понимание и чтение технический документация  программа и методика испытание по гост 19  гост 34  умение работать в коллектив высокий самостоятельность в работа способность аргументировать доносить свой позиция здоровый перфекционизм  коммуникабельность и работа на результат условия  оформление согласно тк рф дмс профессиональный и карьерный рост,санкт петербург,  специалист по информационный безопасности  ,  система видеонаблюдения    машиностроение    автомобильный промышленность    радиоэлектронный промышленность    инженер    сотовые  беспроводный технологии  ,  безопасность    информационный технологии  интернет  телеком    производство  сельский хозяйство  
50096031,автор работа по бизнес планирование,нет опыт,удалённый работа,  ,           это 20 год стабильность и динамичный развитие на рынок образовательный услуг  достойный оплата  гибкий условия  интересный заказ каждый день  мы приглашать к сотрудничество консультант и экспертов  автор студенческий работа по направлениям  формирование и разработка бизнес планов  преимущество сотрудничества  удалённый работа через удобный и понятный личный кабинет с круглосуточный доступ к заказ свободный график   работа по совместительство   частичный занятость личный менеджер  который вести коммуникация с клиент и помогать в решение возникать вопрос и спорный ситуация с заказчик своевременный оплата по факт выполнение заказ каждый 2 недели  средний доход наш постоянный эксперт по экономический и гуманитарный направление   65 000 в месяц  технический   75 000 в месяц защита ваш персональный данные на 100  требование к специалистам  1  умение работать с больший объём информация 2  ответственность  умение распределять рабочий время и количество поставить задача 3  умение качественно выполнять работа   чёткий соблюдение методический указание и срок выполнение работа 4  ваш преимущество будет  опыт написание работа от 1 года  опыт преподавание в учебный заведениях  опыт работа в дать сфере  что вы нужно сделать для того  чтобы стать автором  шаг 1  отправить отклик на данный вакансию  и мы с вы связаться шаг 2  зарегистрироваться в личный кабинет и начинать пользоваться системой  шаг 3  готово  вы мочь работать ,санкт петербург,  режиссер  сценарист  ,  управление малое бизнесом    наука  образование    услуга для бизнеса    экономика  менеджмент    управление туристический бизнесом    развитие бизнеса  ,  высокий менеджмент    туризм  гостиницы  рестораны    информационный технологии  интернет  телеком    продажи    наука  образование  
50095366,сотрудник онлайн школа  удаленно ,нет опыт,удалённый работа,  грамотный речь    пользователь пк    грамотность    английский язык    работа в команде    консультирование    уверенный пользователь пк    проведение презентаций    работа с людьми             знание иностранный языков    работа с больший объём информации    удалённый работа    навык продаж  ,в онлайн школа английский язык        требоваться сотрудники можный без знание английский языка    работа проходить удалённый из дома  вы смочь совмещать основный работа или учебу  обязанности  проведение первый встреча с потенциальный ученик и презентация платформа        вести отчётность в простой и понятный      приглашать на бесплатный вводный урок   продукт нужный и полезный требования  можно без опыт работа  опыт работа не требуется  весь научим  уверенный пользователь пк  офисный программы         интернет ресурс умение общаться с людьми  грамотность  вежливость условия  гибкий график работы  5  6 либо 8 час в день  гарантия своевременный выплата без задержка дистанционный обучение и оформление  работа на дом в комфортный для вы условие скидка на изучение английский язык в наш школа 50  работа в крупный развивающийся компания,санкт петербург,  режиссер  сценарист  ,  языки    системный администратор    администратор база данных    менеджер по работа с клиентами    менеджер по работа с клиентами    сотрудник      центра  ,  информационный технологии  интернет  телеком    продажи    административный персонал    наука  образование    маркетинг  реклама      
43798405,инженер служба технический поддержка  дополнительный оборудование автомобилей  инженер по гарантия,от 1 год до 3 год,сменный график,  технический поддержка    грамотный речь    клиентоориентированность    стрессоустойчивость    телефонный переговоры    сопровождение клиентов    установка противоугонный систем    опыт работа установщик дополнительный оборудования    опыт работа диагностом  ,ооо  автор  являться владелец торговый знак         разработчик и запатентовать производитель первый в мир революционный противоугонный устройство новый поколение       миссия группа компания  автор  обеспечивать высокий уровень безопасности  комфорт и спокойствие автовладелец в весь мире  мы сосредоточить на индивидуальный подход в рамка разработка и производство наш устройство для каждый автомобиля  в сочетание с технологичность и высокий качеством  шагать в нога с время с осознание того  что должный постоянно учиться и всегда совершенствоваться   мы стараться заглянуть в будущее  чтобы отвечать на современный вызов в защита автомобиль интеллектуальный способом  мы создавать устройство и программный обеспечение  который менять отношение  взаимодействие  автовладелец с они автомобилями  вот  почему мы выбирать и что делать мы успешными  в связь с расширение штат мы приглашать в наш команда на работа инженер служба технический поддержка клиентов  основной задача инженер служба технический поддержка клиентов инженер по гарантии  выезд к клиент в уц и дц для устранение сбой в работа оборудования  проведение обучение и шеф монтажей  проведение настройка оборудования  проведение замена оборудование в рамка гарантии  участие в отладка по совместно с программистами  участие в проверка работа оборудования экспертизах  мы ожидать от вас  высшее средный специальный образование  желательный опыт работа диагност электрик автомобилей  установщик дополнительный оборудование от 2 й лет  знание электрооборудование современный автомобилей  умение читать электрический схема знание дополнительный оборудование для автомобиль в область охранный систем  опыт консультирование пользователей  стрессоустойчивость  коммуникабельность  умение работать в команде  мы рада вы предложить  вводный обучение по специальность       инженер служба поддержка клиентов        развить система наставничества  направить на повышение квалификация сотрудник и они дохода  оформление по тк рф  соц  пакет  головной офис в санкт петербурге  бц громов  10 мин  пешком от ст  м        новочеркасская         испытательный срок   до 3 месяцев  график работа на испытательный срок   5 2 09 00 до 18 00  после испытательный срок   сменный график 2 2  с 09 00 21 00  корпоративный спорт и обучение английский языку  вкусный чай и ароматный кофе  уровень доход обсуждаться по результат собеседований  система мотивация оклад   премия      показатели   ждать ваш резюме ,санкт петербург,  мастер приемщик  ,  сервисный инженер    инсталляция и настройка оборудования    другое    инженер    поддержка            ,  автомобильный бизнес    информационный технологии  интернет  телеком    инсталляция и сервис  
48415584,                              2  ,от 3 до 6 год,полный день,   2  продажи    проведение презентаций    активный продажи    холодное продажи    публичный выступления  ,ооо  городской центр экспертиза   новый технологии  входить в группа компания       городский центр экспертиз        мы разрабатывать информационно аналитический система для повышение эффективность работа с учёт особенность предприятий  у мы работать эксперт с опыт работа на предприятие весь отрасль промышленность и любой масшабов  приглашать на работа менеджер по продажам  что нужно делать  продажа собственный комплексный    решение       статус       и       энергогид        развивитие и сопровождение клиента  организация и проведение встреч  мероприятие видеконференцсвязи  выявление и формирование потенциальный потребность клиента  доведение переговоры до заключение договора  мы дорожить наш сотрудник и поэтому предлагаем  неограниченный возможность высокий заработка        теплую       отраслевой база клиент с история взаимодействия  интенсивный внутренний обучение  стабильный оклад  выплата два раз в месяц  и высокий бонус при условие выполнение годовой план продажа  выплата при поступление денежный средство на расчётный счет          поддержка непродолжительный командировка по россии  страна снг  сократить рабочий день с 10 00 до 18 00  нормировать пятидневный рабочий неделю  плавать обеденный перерыв  полностью       белую       зарплату  оплачивать командировки  отпуск и больничные  комфортный просторный офис с оборудовать переговорный и комната отдыха  если вы  ориентировать на высокий личный финансовый результат  иметь подтвердить опыт прямой продажа в сфера  2   уметь выстраивать долгосрочный клиентский отношения  готовый к работа с длительный сделка  проектный продажи   иметь высокий образование ждать ваш резюме ,санкт петербург,  менеджер по продажам  менеджер по работа с клиентами  ,  услуга для бизнеса    прямая продажи    система автоматизированный проектирования    развитие бизнеса    управление проектами    электроэнергетика  ,  информационный технологии  интернет  телеком    продажи    производство  сельский хозяйство    строительство  недвижимость  
